"Variable","-","Group1","Group2","Group3","p_value"
"Hypertension","0","275(96.8%)","1049(95.9%)","223(94.1%)","0.2892c"
"Hypertension","1","9(3.2%)","45(4.1%)","14(5.9%)",""
"Diabetes","0","282(99.3%)","1080(98.6%)","230(96.6%)","0.0488f"
"Diabetes","1","2(0.7%)","15(1.4%)","8(3.4%)",""
"Gluc","n"," 284","1095"," 238","< 0.0001§"
"Gluc","mean_sd","90.22 ± 7.65","91.61 ± 8.8","96.08 ± 26.68","-"
"Gluc","median","90","91","92","-"
"Gluc","min_max","72, 139","63, 154","70, 359","-"
"Gluc","IQR","85, 95","86, 96","87, 98","-"
"hba1c","n"," 284","1095"," 238","0.0699a"
"hba1c","mean_sd","5.58 ± 0.3","5.58 ± 0.3","5.64 ± 0.81","-"
"hba1c","median","5.6","5.6","5.5","-"
"hba1c","min_max","4.9, 8.2","4.5, 7.8","4.6, 13.3","-"
"hba1c","IQR","5.4, 5.7","5.4, 5.7","5.4, 5.7","-"
"Hyperlipidemia","0","268(94.4%)","1007(92%)","212(89.1%)","0.0862c"
"Hyperlipidemia","1","16(5.6%)","88(8%)","26(10.9%)",""
"Total cholesterol","n"," 284","1095"," 238","0.4376a"
"Total cholesterol","mean_sd","189.69 ± 29.91","187.5 ± 31.59","186.33 ± 31.23","-"
"Total cholesterol","median","186.5","185.0","185.0","-"
"Total cholesterol","min_max","133, 297","107, 351","122, 268","-"
"Total cholesterol","IQR","168, 206","165, 208","164, 204.75","-"
"LDL","n"," 284","1095"," 238","0.8579a"
"LDL","mean_sd","106.34 ± 27.26","106.39 ± 28.26","105.29 ± 27.65","-"
"LDL","median","104","103","102","-"
"LDL","min_max","49, 223","29, 267","25, 179","-"
"LDL","IQR","86, 122.25","88, 123.5","85.25, 124","-"
"HDL","n"," 284","1095"," 238","0.0046a"
"HDL","mean_sd","64.39 ± 13.03","63.08 ± 13.78","60.52 ± 13.85","-"
"HDL","median","64.5","62.0","61.0","-"
"HDL","min_max","34, 101","24, 123","28, 114","-"
"HDL","IQR","54, 74","53, 71","51, 68","-"
"TG","n"," 284","1095"," 238","< 0.0001§"
"TG","mean_sd","78.91 ± 33.53","82.79 ± 39.65","95.68 ± 69.95","-"
"TG","median","71.0","74.0","75.5","-"
"TG","min_max","32, 233","29, 348","25, 579","-"
"TG","IQR","55, 94","56, 97","57.25, 110","-"
"Fatty liver","0","272(95.8%)","1042(95.3%)","208(87.4%)","<0.001c"
"Fatty liver","1","12(4.2%)","51(4.7%)","30(12.6%)",""
