"Variable","-","Group1","Group2","Group3","p_value"
"Hypertension","0","74(88.1%)","348(87.2%)","71(84.5%)","0.7565¢Ó"
"Hypertension","1","10(11.9%)","51(12.8%)","13(15.5%)",""
"Diabetes","0","77(91.7%)","377(94.5%)","76(90.5%)","0.3076¢Ó"
"Diabetes","1","7(8.3%)","22(5.5%)","8(9.5%)",""
"Gluc","n"," 84","399"," 84","0.0175¡×"
"Gluc","mean_sd","96.79 ¡¾ 11.51","96.33 ¡¾ 11.32","101.07 ¡¾ 23.65","-"
"Gluc","median","95.5","95.0","97.0","-"
"Gluc","min_max","67, 141","72, 204","62, 267","-"
"Gluc","IQR","89, 99","90, 100.5","91, 104","-"
"hba1c","n"," 84","399"," 84","0.0082¡×"
"hba1c","mean_sd","5.69 ¡¾ 0.36","5.7 ¡¾ 0.47","5.91 ¡¾ 1.04","-"
"hba1c","median","5.6","5.6","5.7","-"
"hba1c","min_max","5, 7.1","4.4, 12.1","5, 13.6","-"
"hba1c","IQR","5.5, 5.8","5.5, 5.8","5.5, 6","-"
"Hyperlipidemia","0","58(69%)","260(65.2%)","49(58.3%)","0.3289¢Ó"
"Hyperlipidemia","1","26(31%)","139(34.8%)","35(41.7%)",""
"Total cholesterol","n"," 84","399"," 84","0.2188¡×"
"Total cholesterol","mean_sd","202.31 ¡¾ 38.98","209.99 ¡¾ 39.64","211.96 ¡¾ 42.72","-"
"Total cholesterol","median","203","210","223","-"
"Total cholesterol","min_max","112, 274","92, 455","109, 306","-"
"Total cholesterol","IQR","177.75, 231.25","186, 234","184.25, 240.25","-"
"LDL","n"," 84","399"," 84","0.1434¡×"
"LDL","mean_sd","127.79 ¡¾ 35","136.13 ¡¾ 37.32","137.65 ¡¾ 40.32","-"
"LDL","median","127.0","138.0","144.5","-"
"LDL","min_max","37, 202","47, 339","50, 229","-"
"LDL","IQR","104.75, 153","111, 160.5","110.25, 168.25","-"
"adjusted LDL","n"," 84","399"," 84","0.1438¡×"
"adjusted LDL","mean_sd","132.45 ¡¾ 33.48","140.7 ¡¾ 36.09","141.24 ¡¾ 36.96","-"
"adjusted LDL","median","133.5","141.0","147.0","-"
"adjusted LDL","min_max","44, 202","52, 339","56, 229","-"
"adjusted LDL","IQR","113.25, 154.7143","118, 164.5","116.75, 168.25","-"
"HDL","n"," 84","399"," 84","0.0479¡×"
"HDL","mean_sd","72.2 ¡¾ 18.28","68.55 ¡¾ 16.55","65.67 ¡¾ 19.15","-"
"HDL","median","69","68","62","-"
"HDL","min_max","42, 124","34, 136","26, 125","-"
"HDL","IQR","59.75, 81.25","56, 80","52, 75","-"
"TG","n"," 84","399"," 84","0.0279¡×"
"TG","mean_sd","92.64 ¡¾ 40.38","104.27 ¡¾ 59.86","117.06 ¡¾ 69.6","-"
"TG","median","89.5","88.0","98.0","-"
"TG","min_max","28, 244","25, 666","23, 429","-"
"TG","IQR","64.5, 113","66, 126","67.75, 140.5","-"
"Obesity","0","72(85.7%)","337(84.5%)","58(69%)","0.0023¢Ó"
"Obesity","1","12(14.3%)","62(15.5%)","26(31%)",""
"BMI","n"," 84","399"," 84","0.0053¡×"
"BMI","mean_sd","21.95 ¡¾ 3.01","22.45 ¡¾ 2.92","23.46 ¡¾ 4.11","-"
"BMI","median","21.7288","22.1199","22.7582","-"
"BMI","min_max","13.879, 31.8416","15.0966, 34.2761","15.8158, 41.522","-"
"BMI","IQR","19.8195, 23.8496","20.4434, 24.0722","21.0973, 25.3833","-"
"Waist","n"," 84","399"," 84","0.0022¡×"
"Waist","mean_sd","75.88 ¡¾ 8.01","77.45 ¡¾ 7.75","80.19 ¡¾ 9.84","-"
"Waist","median","76.05","76.80","78.40","-"
"Waist","min_max","57.6, 103.4","59, 103.4","59, 122","-"
"Waist","IQR","70.625, 81","72, 82.2","75.075, 86","-"
"Fatty liver","0","68(81%)","296(74.7%)","48(57.8%)","0.0015¢Ó"
"Fatty liver","1","16(19%)","100(25.3%)","35(42.2%)",""
